head,rel,tail
(:Head {name: chiller}),[:subclass of],(:Tail {name: hvac})
(:Head {name: disk controller}),[:uses],(:Tail {name: hard disk})
(:Head {name: heat exchanger}),[:part of],(:Tail {name: hvac system})
(:Head {name: heat exchanger}),[:part of],(:Tail {name: hvac})
(:Head {name: blow through heat exchanger}),[:subclass of],(:Tail {name: hvac})
(:Head {name: refrigerant gas sensor}),[:subclass of],(:Tail {name: hvac sensor})
(:Head {name: refrigerant}),[:subclass of],(:Tail {name: gas})
(:Head {name: scrubber system}),[:part of],(:Tail {name: hvac unit})
(:Head {name: fan}),[:part of],(:Tail {name: hvac unit})
(:Head {name: damper}),[:part of],(:Tail {name: hvac unit})
(:Head {name: removable inserts}),[:subclass of],(:Tail {name: embodiments})
(:Head {name: service history}),[:facet of],(:Tail {name: hvac})
(:Head {name: user device}),[:part of],(:Tail {name: control system})
(:Head {name: pre-filter}),[:subclass of],(:Tail {name: filter})
(:Head {name: hvac}),[:part of],(:Tail {name: hvac system})
(:Head {name: pre-filter}),[:subclass of],(:Tail {name: filtering})
(:Head {name: microcontroller}),[:use],(:Tail {name: wireless communication})
(:Head {name: dormant component}),[:subclass of],(:Tail {name: hvac system})
(:Head {name: venturi holes}),[:part of],(:Tail {name: hvac system})
(:Head {name: antimicrobial}),[:subclass of],(:Tail {name: coating})
(:Head {name: ventilation}),[:part of],(:Tail {name: hvac system})
(:Head {name: hvac control system}),[:facet of],(:Tail {name: hvac})
(:Head {name: control head}),[:facet of],(:Tail {name: hvac control system})
(:Head {name: data communication bus}),[:use],(:Tail {name: datalink})
(:Head {name: test and balance}),[:facet of],(:Tail {name: user interface})
(:Head {name: hvac}),[:use],(:Tail {name: energy-saving})
(:Head {name: ductwork}),[:part of],"(:Tail {name: heating, ventilation, and air conditioning})"
(:Head {name: ductwork}),[:subclass of],(:Tail {name: hvac})
(:Head {name: ductwork}),[:part of],(:Tail {name: hvac})
(:Head {name: automotive vehicle}),[:has part],(:Tail {name: housing})
(:Head {name: vent dampers}),[:part of],(:Tail {name: hvac})
(:Head {name: sensors}),[:part of],(:Tail {name: hvac system})
(:Head {name: defog}),[:subclass of],(:Tail {name: hvac})
(:Head {name: natural language}),[:has part],(:Tail {name: voice recognition})
(:Head {name: streamed voice message}),[:subclass of],(:Tail {name: natural language text based message})
(:Head {name: remote device}),[:has part],(:Tail {name: thermostat})
(:Head {name: remaining useful life}),[:facet of],(:Tail {name: hvac system})
(:Head {name: remote controller}),[:use],"(:Tail {name: heating, ventilation and air-conditioner})"
(:Head {name: mosfet}),[:subclass of],(:Tail {name: transistor})
"(:Head {name: trans-1,2,dichloroethylene})",[:subject has role],(:Tail {name: solvent})
(:Head {name: aggregate control line current}),[:used by],(:Tail {name: monitoring device})
(:Head {name: operating mode}),[:facet of],(:Tail {name: hvac system})
(:Head {name: commanded operating mode}),[:facet of],(:Tail {name: hvac system})
(:Head {name: provisioning}),[:facet of],(:Tail {name: hvac system})
(:Head {name: refrigeration}),[:subclass of],(:Tail {name: hvac})
(:Head {name: neural network}),[:subclass of],(:Tail {name: processing})
(:Head {name: heat exchanger}),[:use],"(:Tail {name: heating, ventilation, and air conditioning})"
(:Head {name: fan and register system}),[:subclass of],(:Tail {name: hvac})
(:Head {name: hva system}),[:use],(:Tail {name: airflow})
(:Head {name: hvac register}),[:has part],(:Tail {name: fan})
(:Head {name: removable}),[:subclass of],(:Tail {name: fan})
(:Head {name: steel}),[:has part],(:Tail {name: aluminum})
(:Head {name: on mode}),[:instance of],(:Tail {name: operating mode})
(:Head {name: monitoring}),[:facet of],(:Tail {name: hvac})
(:Head {name: vacuum sensor}),[:part of],(:Tail {name: thermostat})
(:Head {name: vacuum sensor}),[:part of],(:Tail {name: hvac})
(:Head {name: deactivates}),[:facet of],(:Tail {name: hvac system})
(:Head {name: touch-screen}),[:part of],(:Tail {name: thermostat})
(:Head {name: media layer}),[:use],(:Tail {name: filtration})
(:Head {name: housing}),[:use],(:Tail {name: hvac control})
(:Head {name: hvac system}),[:has part],(:Tail {name: refrigerant})
"(:Head {name: heating, ventilation and air conditioning})",[:uses],(:Tail {name: air})
(:Head {name: sub-optimal hvac performance}),[:facet of],(:Tail {name: hvac})
(:Head {name: deep reinforcement learning}),[:use],"(:Tail {name: heating, ventilation, and air-conditioning})"
(:Head {name: deep reinforcement learning}),[:use],(:Tail {name: hvac control})
(:Head {name: expressive decision tables}),[:instance of],(:Tail {name: engine})
(:Head {name: reheat heat exchanger}),[:part of],"(:Tail {name: heating, ventilation, and/or air conditioning})"
(:Head {name: hvac}),[:subclass of],(:Tail {name: controls})
(:Head {name: housing}),[:part of],(:Tail {name: control head})
(:Head {name: instrument panel}),[:has part],(:Tail {name: head})
(:Head {name: test-initiation criteria}),[:facet of],(:Tail {name: hvac system})
(:Head {name: test mode}),[:facet of],(:Tail {name: hvac system})
(:Head {name: test mode}),[:subclass of],(:Tail {name: hvac})
(:Head {name: indoor air temperature}),[:instance of],(:Tail {name: test})
(:Head {name: failed}),[:subclass of],(:Tail {name: test})
(:Head {name: computer programs}),[:location],(:Tail {name: computer storage media})
(:Head {name: airside system}),[:subclass of],(:Tail {name: airflow})
(:Head {name: airside/waterside optimization}),[:subclass of],(:Tail {name: hvac controller})
(:Head {name: predictive cost model}),[:facet of],(:Tail {name: hvac system})
(:Head {name: vehicle}),[:has part],(:Tail {name: climate control})
(:Head {name: hvac}),[:uses],(:Tail {name: temperature})
(:Head {name: cabin temperature sensor}),[:use],(:Tail {name: hvac})
(:Head {name: programmable}),[:subclass of],(:Tail {name: hvac controller})
(:Head {name: configuration profile}),[:subclass of],(:Tail {name: configuration tool})
(:Head {name: i/o terminal}),[:part of],(:Tail {name: terminal diagram})
(:Head {name: zone thermostat}),[:part of],"(:Tail {name: heating, ventilation, and/or air conditioning})"
(:Head {name: system controller}),[:part of],(:Tail {name: hvac system})
(:Head {name: duct}),[:subclass of],(:Tail {name: hvac unit})
(:Head {name: voltage}),[:subclass of],(:Tail {name: communication})
(:Head {name: ground}),[:opposite of],(:Tail {name: voltage})
(:Head {name: blower speed}),[:part of],(:Tail {name: hvac unit})
(:Head {name: air filter}),[:subclass of],(:Tail {name: hvac})
(:Head {name: model number}),[:subclass of],(:Tail {name: parameter})
(:Head {name: component change notification}),[:used by],(:Tail {name: hvac controller})
(:Head {name: heating and cooling}),[:instance of],(:Tail {name: operating mode})
(:Head {name: rfid tag}),[:subclass of],(:Tail {name: radio frequency identification tag})
(:Head {name: hvac network device}),[:subclass of],(:Tail {name: network device})
(:Head {name: network address}),[:part of],(:Tail {name: network device})
(:Head {name: network address}),[:used by],(:Tail {name: network device})
(:Head {name: network address}),[:part of],(:Tail {name: communication network})
(:Head {name: network address}),[:part of],(:Tail {name: communication bus})
(:Head {name: auxiliary controller}),[:use],(:Tail {name: hvac system})
(:Head {name: method}),[:use],(:Tail {name: breath analyzing})
"(:Head {name: heat, ventilation and air conditioning})",[:subclass of],(:Tail {name: hvac})
(:Head {name: free cooling circuit}),[:part of],"(:Tail {name: heating, ventilating, and/or air conditioning})"
(:Head {name: ambient air}),[:subclass of],(:Tail {name: heat exchange})
(:Head {name: heat exchanger}),[:use],(:Tail {name: hvac})
(:Head {name: s3}),[:subclass of],(:Tail {name: temporal course})
(:Head {name: interdependencies}),[:part of],(:Tail {name: s4})
(:Head {name: devices}),[:part of],(:Tail {name: hvac system})
(:Head {name: fault detection}),[:subclass of],(:Tail {name: control})
(:Head {name: start-stop}),[:subclass of],(:Tail {name: engine operation})
(:Head {name: fan speed}),[:facet of],(:Tail {name: ambient air temperature})
(:Head {name: powertrain control module}),[:use],(:Tail {name: engine operation})
(:Head {name: fan speed}),[:facet of],(:Tail {name: hvac demand})
(:Head {name: fault-adapted predictive model}),[:subclass of],(:Tail {name: predictive model})
(:Head {name: fault-adapted predictive model}),[:facet of],(:Tail {name: hvac system})
(:Head {name: condensate}),[:subclass of],(:Tail {name: hvac})
(:Head {name: our valve}),[:subclass of],(:Tail {name: drain line valve})
(:Head {name: hvac drainage system}),[:subclass of],(:Tail {name: hvac})
(:Head {name: offset}),[:part of],(:Tail {name: two dimensions})
(:Head {name: supply air duct}),[:subclass of],(:Tail {name: hvac})
(:Head {name: compressor}),[:use],(:Tail {name: hvac})
(:Head {name: first pressure reading}),[:subclass of],(:Tail {name: pressure reading})
(:Head {name: pressure reading}),[:facet of],(:Tail {name: hvac})
(:Head {name: programmable processor}),[:subclass of],(:Tail {name: memory})
(:Head {name: verification image}),[:use],(:Tail {name: hvac control})
(:Head {name: duct}),[:part of],(:Tail {name: hvac})
(:Head {name: controller}),[:has part],(:Tail {name: blower})
(:Head {name: demand request}),[:facet of],(:Tail {name: hvac system})
(:Head {name: setpoint temperature}),[:facet of],(:Tail {name: hvac system})
(:Head {name: low-speed setting}),[:subclass of],(:Tail {name: variable-speed compressor})
(:Head {name: variable-speed compressor}),[:subclass of],(:Tail {name: blower})
(:Head {name: controllable flow rate}),[:facet of],(:Tail {name: flow of air})
(:Head {name: controller}),[:subclass of],(:Tail {name: sensor})
(:Head {name: heating ventilation or air-conditioning}),[:subclass of],(:Tail {name: hvac})
(:Head {name: power consumption determination}),[:facet of],(:Tail {name: hvac})
(:Head {name: parametric fit}),[:subclass of],(:Tail {name: fitting})
(:Head {name: hvac}),[:has part],(:Tail {name: refrigerant})
"(:Head {name: heating, ventilation, and/or air conditioning})",[:subclass of],(:Tail {name: control system})
(:Head {name: hvac control system}),[:part of],(:Tail {name: hvac system})
(:Head {name: hvac}),[:subclass of],(:Tail {name: energy})
(:Head {name: failsafe control}),[:subclass of],(:Tail {name: control system})
(:Head {name: hvac}),[:has part],(:Tail {name: evaporator})
(:Head {name: heating ventilation and air conditioning}),[:subclass of],"(:Tail {name: heating, ventilation and air conditioning})"
(:Head {name: monitoring apparatus}),[:facet of],(:Tail {name: hvac})
(:Head {name: hvac monitoring apparatus}),[:facet of],(:Tail {name: hvac system})
(:Head {name: wirelessly}),[:part of],(:Tail {name: cloud})
(:Head {name: bacterial}),[:subclass of],(:Tail {name: microbial})
(:Head {name: root cause problem}),[:subclass of],(:Tail {name: fault})
(:Head {name: hvac model}),[:facet of],(:Tail {name: hvac system})
(:Head {name: hvac}),[:subclass of],(:Tail {name: controller})
(:Head {name: partial load mode}),[:facet of],(:Tail {name: hvac})
(:Head {name: operating envelope}),[:facet of],(:Tail {name: hvac})
(:Head {name: operating envelope}),[:facet of],(:Tail {name: hvac system})
(:Head {name: partial load mode}),[:subclass of],(:Tail {name: override configuration})
(:Head {name: temperature set point}),[:facet of],(:Tail {name: temperature})
(:Head {name: heating element}),[:use],(:Tail {name: hvac})
(:Head {name: hvac}),[:has effect],(:Tail {name: temperature rise})
(:Head {name: fan}),[:subclass of],(:Tail {name: hvac system})
(:Head {name: air filter}),[:subclass of],(:Tail {name: hvac controller})
(:Head {name: airflow control}),[:subclass of],(:Tail {name: hvac})
(:Head {name: polarity}),[:facet of],(:Tail {name: magnetic field})
(:Head {name: safety fuse}),[:use],(:Tail {name: hvac})
(:Head {name: hvac controller}),[:has part],(:Tail {name: sensors})
(:Head {name: home screen}),[:facet of],(:Tail {name: user interface})
(:Head {name: sensor priority screen}),[:subclass of],(:Tail {name: display element})
(:Head {name: temperature}),[:facet of],(:Tail {name: hvac system})
(:Head {name: conditioning system}),[:subclass of],"(:Tail {name: heating, ventilation, and/or air conditioning})"
(:Head {name: hvac}),[:has part],(:Tail {name: thermostat})
(:Head {name: ethernet transformer}),[:subclass of],(:Tail {name: transformer})
(:Head {name: field effect transistor}),[:subclass of],(:Tail {name: electrical connection})
(:Head {name: air filter}),[:part of],(:Tail {name: hvac system})
(:Head {name: first temporal parameter}),[:facet of],(:Tail {name: hvac system})
(:Head {name: aggregate current}),[:subclass of],(:Tail {name: current data})
(:Head {name: server}),[:part of],(:Tail {name: remotely})
(:Head {name: hvac control panel}),[:part of],(:Tail {name: vehicle})
(:Head {name: control panel}),[:use],(:Tail {name: hvac})
(:Head {name: handle}),[:part of],(:Tail {name: lever})
(:Head {name: hvac unit}),[:subclass of],(:Tail {name: embodiment})
(:Head {name: front end}),[:part of],(:Tail {name: front compartment})
(:Head {name: heat ventilation air conditioning}),[:subclass of],(:Tail {name: air conditioning})
(:Head {name: processer}),[:has part],(:Tail {name: memory})
(:Head {name: universal replacement controls}),[:subclass of],(:Tail {name: hvac control assemblies})
(:Head {name: hvac air-handling assembly}),[:part of],(:Tail {name: climate control system})
(:Head {name: parametric model}),[:instance of],(:Tail {name: knowledge-based engineering library})
(:Head {name: wiring harness}),[:use],(:Tail {name: hvac control})
(:Head {name: infrared}),[:subclass of],(:Tail {name: electromagnetic radiation})
(:Head {name: controllable}),[:facet of],(:Tail {name: hvac system})
(:Head {name: plurality}),[:subclass of],(:Tail {name: hvac register})
(:Head {name: hvac register}),[:has part],(:Tail {name: screw holes})
(:Head {name: vent}),[:subclass of],(:Tail {name: air})
(:Head {name: air-conditioned}),[:subclass of],(:Tail {name: air})
(:Head {name: filter}),[:part of],(:Tail {name: hvac})
(:Head {name: cover}),[:subclass of],(:Tail {name: filter})
(:Head {name: air filter}),[:part of],(:Tail {name: hvac controller})
(:Head {name: air filter}),[:part of],(:Tail {name: hvac})
(:Head {name: outdoor temperature information}),[:subclass of],(:Tail {name: outdoor weather data})
(:Head {name: total runtime value}),[:facet of],(:Tail {name: hvac system})
(:Head {name: fan}),[:use],(:Tail {name: hvac})
(:Head {name: hvac}),[:subclass of],(:Tail {name: workload})
(:Head {name: heating or cooling cycle}),[:subclass of],(:Tail {name: hvac})
(:Head {name: remotely monitoring and controlling}),[:facet of],(:Tail {name: hvac})
(:Head {name: internet}),[:instance of],(:Tail {name: communications links})
(:Head {name: wireless access protocol}),[:used by],(:Tail {name: cell phone})
(:Head {name: energy consumption}),[:facet of],(:Tail {name: hvac})
